Object nr 1,Lap Nr:,Nr. of Corners,Corner 1,x,y
,800,16,C 1,30,58,C 2,12,62,C 3,32,48,C 4,11,83,C 5,15,48,C 6,34,82,C 7,34,71,C 8,11,33,C 9,31,15,C 10,31,33,C 11,16,16,C 12,11,99,C 13,36,101,C 14,23,89,C 15,19,76,C 16,21,28
,1600,20,C 1,30,58,C 2,32,48,C 3,12,87,C 4,10,34,C 5,16,15,C 6,34,71,C 7,12,59,C 8,12,69,C 9,34,82,C 10,34,34,C 11,15,48,C 12,29,14,C 13,23,90,C 14,8,8,C 15,20,34,C 16,19,77,C 17,33,96,C 18,14,99,C 19,29,24,C 20,44,101
,2400,19,C 1,30,58,C 2,32,48,C 3,12,87,C 4,10,34,C 5,12,59,C 6,34,74,C 7,26,32,C 8,16,17,C 9,29,14,C 10,21,45,C 11,12,69,C 12,23,89,C 13,11,46,C 14,8,8,C 15,33,87,C 16,19,77,C 17,28,98,C 18,13,100,C 19,44,102
,3200,18,C 1,30,58,C 2,16,56,C 3,12,69,C 4,12,87,C 5,34,71,C 6,32,48,C 7,10,34,C 8,34,82,C 9,31,33,C 10,29,14,C 11,10,10,C 12,20,41,C 13,20,77,C 14,22,90,C 15,21,28,C 16,34,96,C 17,14,99,C 18,44,102
,4000,18,C 1,29,51,C 2,12,69,C 3,16,48,C 4,32,65,C 5,13,84,C 6,34,35,C 7,34,92,C 8,29,14,C 9,11,36,C 10,33,76,C 11,16,14,C 12,11,96,C 13,8,8,C 14,25,87,C 15,29,24,C 16,4,104,C 17,23,38,C 18,28,103
,4800,19,C 1,30,51,C 2,16,55,C 3,13,84,C 4,12,69,C 5,32,65,C 6,29,14,C 7,31,33,C 8,16,14,C 9,33,76,C 10,11,36,C 11,34,92,C 12,11,96,C 13,10,47,C 14,36,6,C 15,24,89,C 16,8,6,C 17,3,104,C 18,31,103,C 19,22,41
,5600,19,C 1,29,51,C 2,32,65,C 3,31,13,C 4,14,13,C 5,34,36,C 6,3,108,C 7,4,13,C 8,13,27,C 9,41,11,C 10,44,99,C 11,34,76,C 12,30,24,C 13,33,94,C 14,19,108,C 15,30,105,C 16,3,38,C 17,3,85,C 18,20,84,C 19,22,43
