Object nr 2,Lap Nr:,Nr. of Corners,Corner 1,x,y
,28800,9,C 1,8,67,C 2,11,42,C 3,19,29,C 4,7,27,C 5,41,67,C 6,7,13,C 7,41,13,C 8,18,65,C 9,13,53
,29600,9,C 1,11,42,C 2,9,67,C 3,7,27,C 4,41,67,C 5,41,13,C 6,7,13,C 7,19,29,C 8,12,53,C 9,20,67
,30400,9,C 1,11,42,C 2,8,67,C 3,7,27,C 4,19,29,C 5,41,67,C 6,41,13,C 7,7,13,C 8,18,65,C 9,12,53
,31200,9,C 1,11,42,C 2,8,67,C 3,7,27,C 4,19,29,C 5,41,67,C 6,41,13,C 7,7,13,C 8,18,65,C 9,13,55
,32000,9,C 1,11,42,C 2,8,67,C 3,7,27,C 4,19,29,C 5,41,67,C 6,41,13,C 7,7,13,C 8,18,65,C 9,12,53
,32800,9,C 1,8,67,C 2,11,42,C 3,19,29,C 4,7,27,C 5,41,67,C 6,41,13,C 7,7,13,C 8,18,65,C 9,13,53
,33600,12,C 1,8,67,C 2,26,36,C 3,11,54,C 4,40,28,C 5,7,13,C 6,41,67,C 7,7,38,C 8,19,67,C 9,3,28,C 10,40,14,C 11,14,30,C 12,18,44
,34400,9,C 1,11,42,C 2,9,67,C 3,7,27,C 4,41,67,C 5,41,13,C 6,7,13,C 7,19,29,C 8,12,53,C 9,20,67
,35200,10,C 1,11,42,C 2,8,67,C 3,7,27,C 4,19,29,C 5,41,67,C 6,41,13,C 7,7,13,C 8,18,65,C 9,18,51,C 10,8,52
,36000,10,C 1,8,67,C 2,11,42,C 3,7,27,C 4,19,29,C 5,41,67,C 6,41,13,C 7,7,13,C 8,18,65,C 9,18,51,C 10,8,52
,36800,9,C 1,11,42,C 2,8,67,C 3,7,27,C 4,19,29,C 5,41,67,C 6,41,13,C 7,7,13,C 8,18,65,C 9,18,51
,37600,9,C 1,11,42,C 2,8,67,C 3,19,29,C 4,7,28,C 5,41,67,C 6,41,13,C 7,7,13,C 8,18,65,C 9,12,53
,38400,9,C 1,11,42,C 2,8,67,C 3,19,29,C 4,7,28,C 5,41,67,C 6,7,13,C 7,41,13,C 8,18,65,C 9,12,53
,39200,9,C 1,11,42,C 2,8,67,C 3,7,27,C 4,41,67,C 5,19,29,C 6,12,53,C 7,20,67,C 8,7,13,C 9,41,13
,40000,9,C 1,11,42,C 2,9,67,C 3,7,27,C 4,41,67,C 5,19,29,C 6,41,13,C 7,7,13,C 8,20,67,C 9,12,53
,40800,9,C 1,8,67,C 2,11,42,C 3,7,27,C 4,19,29,C 5,41,67,C 6,41,13,C 7,7,13,C 8,20,67,C 9,14,58
,41600,9,C 1,11,42,C 2,8,67,C 3,7,27,C 4,19,29,C 5,41,67,C 6,41,13,C 7,7,13,C 8,20,67,C 9,14,59
,42400,9,C 1,11,42,C 2,8,67,C 3,7,28,C 4,19,29,C 5,41,67,C 6,41,13,C 7,7,13,C 8,20,67,C 9,12,53
,43200,9,C 1,11,42,C 2,8,67,C 3,7,28,C 4,19,29,C 5,41,67,C 6,41,13,C 7,7,13,C 8,20,67,C 9,14,58
,44000,11,C 1,19,29,C 2,11,42,C 3,8,67,C 4,7,27,C 5,41,67,C 6,7,13,C 7,41,13,C 8,20,67,C 9,12,53,C 10,3,1,C 11,38,1
,44800,10,C 1,11,42,C 2,9,67,C 3,7,27,C 4,41,67,C 5,41,13,C 6,7,13,C 7,19,29,C 8,12,53,C 9,19,72,C 10,19,62
,45600,9,C 1,8,67,C 2,11,42,C 3,7,27,C 4,19,29,C 5,41,67,C 6,41,13,C 7,7,13,C 8,20,67,C 9,12,53
,46400,9,C 1,11,42,C 2,8,67,C 3,7,27,C 4,19,29,C 5,41,13,C 6,7,13,C 7,41,67,C 8,20,67,C 9,14,58
,47200,9,C 1,11,42,C 2,8,67,C 3,7,28,C 4,19,29,C 5,41,67,C 6,41,13,C 7,7,13,C 8,20,67,C 9,14,58
