Object nr 4,Lap Nr:,Nr. of Corners,Corner 1,x,y
,800,3,C 1,74,19,C 2,48,21,C 3,20,22
,1600,20,C 1,74,38,C 2,70,66,C 3,42,28,C 4,80,68,C 5,1,8,C 6,59,30,C 7,8,58,C 8,30,62,C 9,81,49,C 10,1,18,C 11,48,19,C 12,27,18,C 13,72,79,C 14,1,39,C 15,61,19,C 16,29,1,C 17,11,3,C 18,11,19,C 19,1,28,C 20,41,68
,2400,20,C 1,39,26,C 2,40,79,C 3,44,2,C 4,5,67,C 5,41,54,C 6,32,61,C 7,68,63,C 8,34,4,C 9,14,1,C 10,45,64,C 11,3,34,C 12,15,20,C 13,68,25,C 14,79,4,C 15,54,12,C 16,59,70,C 17,4,9,C 18,30,14,C 19,21,9,C 20,29,80
,3200,11,C 1,64,77,C 2,40,77,C 3,65,66,C 4,40,66,C 5,78,59,C 6,40,53,C 7,48,37,C 8,54,29,C 9,18,82,C 10,57,85,C 11,54,18
