Object nr 2,Lap Nr:,Nr. of Corners,Corner 1,x,y
,20800,13,C 1,38,29,C 2,40,93,C 3,37,70,C 4,33,44,C 5,56,102,C 6,54,42,C 7,56,85,C 8,38,82,C 9,55,72,C 10,54,59,C 11,36,105,C 12,36,60,C 13,44,38
,21600,13,C 1,38,30,C 2,40,93,C 3,37,70,C 4,56,101,C 5,33,44,C 6,54,42,C 7,56,85,C 8,38,82,C 9,55,72,C 10,36,105,C 11,54,59,C 12,36,60,C 13,44,38
,22400,12,C 1,38,30,C 2,40,93,C 3,56,102,C 4,36,75,C 5,54,42,C 6,33,44,C 7,56,85,C 8,55,72,C 9,54,59,C 10,36,105,C 11,36,63,C 12,44,38
,23200,12,C 1,38,29,C 2,40,93,C 3,36,75,C 4,56,101,C 5,54,42,C 6,33,44,C 7,56,85,C 8,55,72,C 9,54,59,C 10,36,105,C 11,36,63,C 12,44,38
,24000,13,C 1,38,29,C 2,40,93,C 3,56,102,C 4,37,70,C 5,33,44,C 6,56,85,C 7,54,42,C 8,38,82,C 9,55,72,C 10,54,59,C 11,36,105,C 12,36,60,C 13,44,38
,24800,12,C 1,38,30,C 2,40,93,C 3,36,75,C 4,56,101,C 5,56,85,C 6,54,42,C 7,33,44,C 8,55,72,C 9,54,59,C 10,36,105,C 11,36,63,C 12,44,38
,25600,13,C 1,38,30,C 2,40,93,C 3,36,75,C 4,54,42,C 5,56,102,C 6,56,85,C 7,32,44,C 8,55,72,C 9,54,59,C 10,36,105,C 11,36,63,C 12,44,38,C 13,46,105
,26400,13,C 1,38,30,C 2,36,75,C 3,40,93,C 4,56,85,C 5,54,42,C 6,57,102,C 7,33,44,C 8,55,72,C 9,54,59,C 10,36,105,C 11,35,63,C 12,44,38,C 13,47,105
,27200,11,C 1,38,30,C 2,36,75,C 3,40,93,C 4,54,42,C 5,56,85,C 6,56,102,C 7,33,44,C 8,55,72,C 9,54,59,C 10,36,105,C 11,35,63
,28000,13,C 1,38,30,C 2,36,75,C 3,40,93,C 4,56,102,C 5,54,42,C 6,56,85,C 7,33,44,C 8,55,72,C 9,36,105,C 10,54,59,C 11,35,63,C 12,44,38,C 13,46,105
,28800,13,C 1,38,30,C 2,40,93,C 3,36,75,C 4,54,42,C 5,56,102,C 6,56,85,C 7,33,44,C 8,55,72,C 9,36,105,C 10,54,59,C 11,35,63,C 12,44,38,C 13,46,105
,29600,13,C 1,38,30,C 2,36,75,C 3,54,42,C 4,41,94,C 5,56,85,C 6,56,102,C 7,33,44,C 8,55,72,C 9,36,105,C 10,54,59,C 11,36,64,C 12,46,105,C 13,44,38
,30400,13,C 1,38,30,C 2,36,75,C 3,41,94,C 4,56,85,C 5,54,42,C 6,56,102,C 7,32,44,C 8,55,72,C 9,36,105,C 10,54,59,C 11,35,63,C 12,46,105,C 13,44,38
,31200,13,C 1,38,30,C 2,36,75,C 3,40,93,C 4,54,42,C 5,56,85,C 6,56,102,C 7,32,44,C 8,55,72,C 9,36,105,C 10,54,59,C 11,36,64,C 12,46,105,C 13,44,38
,32000,13,C 1,38,30,C 2,36,75,C 3,41,94,C 4,54,42,C 5,56,85,C 6,56,102,C 7,33,44,C 8,55,72,C 9,36,105,C 10,54,59,C 11,46,105,C 12,36,64,C 13,44,38
,32800,13,C 1,38,30,C 2,36,75,C 3,56,85,C 4,40,93,C 5,54,43,C 6,56,102,C 7,32,44,C 8,55,72,C 9,36,105,C 10,54,59,C 11,36,64,C 12,46,105,C 13,44,38
,33600,13,C 1,38,30,C 2,36,75,C 3,54,43,C 4,41,94,C 5,56,102,C 6,56,85,C 7,32,44,C 8,55,72,C 9,36,105,C 10,54,59,C 11,35,63,C 12,44,38,C 13,46,105
,34400,13,C 1,38,30,C 2,36,75,C 3,41,94,C 4,54,43,C 5,56,85,C 6,56,102,C 7,32,44,C 8,56,72,C 9,36,105,C 10,54,59,C 11,35,57,C 12,44,38,C 13,46,105
,35200,13,C 1,38,30,C 2,36,75,C 3,41,94,C 4,54,43,C 5,56,85,C 6,56,102,C 7,32,44,C 8,55,72,C 9,36,105,C 10,54,59,C 11,36,64,C 12,46,105,C 13,44,38
,36000,14,C 1,38,30,C 2,36,75,C 3,41,94,C 4,54,42,C 5,56,85,C 6,56,102,C 7,32,44,C 8,55,72,C 9,36,105,C 10,54,59,C 11,36,64,C 12,46,105,C 13,44,38,C 14,39,54
,36800,14,C 1,38,30,C 2,36,75,C 3,41,94,C 4,54,43,C 5,56,85,C 6,56,102,C 7,32,44,C 8,55,73,C 9,36,105,C 10,54,59,C 11,36,64,C 12,46,105,C 13,44,38,C 14,39,54
,37600,14,C 1,38,30,C 2,36,75,C 3,54,43,C 4,40,94,C 5,56,102,C 6,56,85,C 7,32,44,C 8,55,72,C 9,36,105,C 10,54,59,C 11,36,64,C 12,44,38,C 13,46,105,C 14,39,54
,38400,14,C 1,38,30,C 2,36,75,C 3,40,94,C 4,54,42,C 5,56,85,C 6,56,102,C 7,32,44,C 8,55,72,C 9,36,105,C 10,54,59,C 11,46,105,C 12,35,64,C 13,44,38,C 14,39,54
,39200,14,C 1,38,30,C 2,37,71,C 3,40,94,C 4,54,43,C 5,56,85,C 6,56,102,C 7,37,83,C 8,32,44,C 9,55,73,C 10,36,105,C 11,54,59,C 12,46,105,C 13,44,38,C 14,35,57
,40000,13,C 1,38,30,C 2,37,75,C 3,40,94,C 4,54,43,C 5,56,102,C 6,32,44,C 7,56,81,C 8,36,105,C 9,53,53,C 10,35,64,C 11,46,105,C 12,44,39,C 13,55,63
