Lap Nr,Point 1,X,Y
1,0,417.99576,494.98605
2,0,417.99643,494.98822
3,0,417.99725,494.99518
4,0,418.00278,494.9905
5,0,418.00336,494.98523
6,0,418.00323,494.98453
7,0,418.00043,495.0013
8,0,418.0011,495.0025
9,0,418.00113,495.0024
10,0,418.00327,495.00183
11,0,418.00235,495.00574
12,0,418.015,494.97147
13,0,418.012,494.97626
14,0,418.01645,494.97607
15,0,418.01736,494.9772
16,0,418.01736,494.9772
17,0,418.01212,494.98596
18,0,418.01236,494.98615
19,0,418.01108,494.99155
20,0,418.01343,495.00107
21,0,418.01303,495.00275
22,0,418.01276,495.00015
23,0,418.01276,495.00015
24,0,418.00916,494.99762
25,0,418.00916,494.99756
26,0,418.00916,494.99756
27,0,417.99863,495.01367
28,0,417.99664,495.0143
29,0,417.99664,495.01447
30,0,417.993,495.01422
31,0,417.9931,495.01422
32,0,417.9931,495.01422
33,0,417.9931,495.01422
34,0,417.9938,495.01324
35,0,417.99295,495.01477
36,0,418.00247,495.00162
37,0,417.99954,495.00998
38,0,417.99826,495.00937
39,0,417.99725,495.01047
40,0,418.00552,495.00687
41,0,418.00494,495.00977
42,0,418.00314,495.01004
43,0,418.00314,495.01004
44,0,418.0027,495.0146
45,0,418.00403,495.01486
46,0,418.00403,495.01486
47,0,418.00012,495.03015
48,0,417.9976,494.99936
49,0,417.9976,494.99936
50,0,417.99677,494.9982
51,0,417.99576,495.0008
52,0,417.99573,495.0009
53,0,417.99573,495.00095
54,0,417.9962,495.00482
55,0,417.99692,495.00342
56,0,417.99692,495.00342
57,0,417.99567,495.00482
58,0,417.9962,495.00156
59,0,417.99606,495.00153
60,0,417.99707,494.99423
61,0,417.99707,494.99423
62,0,417.99707,494.99423
63,0,417.99707,494.99423
64,0,417.99994,495.02518
65,0,418.00113,495.02383
66,0,418.0019,495.02374
67,0,418.0049,495.03128
68,0,418.00626,495.02975
69,0,418.00626,495.02975
70,0,418.004,495.0191
71,0,418.00278,495.02008
72,0,417.99133,495.03226
73,0,417.99133,495.03226
74,0,418.00836,495.01892
75,0,418.01196,495.01236
76,0,418.012,495.01242
77,0,418.01114,495.01843
78,0,418.01224,495.0218
79,0,418.012,495.02115
80,0,418.0081,495.03452
81,0,418.0084,495.03152
82,0,418.0084,495.03152
83,0,418.0084,495.03152
84,0,418.00113,495.0343
85,0,418.00107,495.03427
86,0,418.00107,495.03427
87,0,418.0055,494.99963
88,0,418.00427,495.00034
89,0,418.0043,495.00024
90,0,418.0043,495.00024
91,0,417.9862,495.05328
92,0,417.98456,495.05566
93,0,417.98456,495.05518
94,0,418.006,495.00388
95,0,418.00595,495.00644
96,0,418.00824,494.97577
97,0,418.00546,495.02032
98,0,418.00632,495.0228
99,0,418.00677,495.0217
100,0,418.0064,495.02148
101,0,418.008,495.0648
102,0,418.00867,495.06073
103,0,418.0054,495.06262
104,0,418.0085,495.0502
105,0,418.0091,495.0486
106,0,418.0091,495.0486
107,0,418.0091,495.0486
108,0,418.00693,495.04816
109,0,418.00693,495.04816
110,0,418.00693,495.04816
111,0,417.99048,495.0513
112,0,417.98105,495.05295
113,0,417.9808,495.05298
114,0,417.98135,495.07925
115,0,417.98215,495.0765
116,0,417.98218,495.0766
117,0,417.98218,495.0766
118,0,417.98898,495.0926
119,0,417.98816,495.0922
120,0,418.01587,495.0829
121,0,418.01492,495.07495
122,0,418.0146,495.0741
123,0,418.01456,495.07397
124,0,418.01456,495.07397
125,0,418.05066,495.0598
126,0,418.05194,495.05823
127,0,418.05194,495.05823
128,0,418.04596,495.06442
129,0,418.04456,495.06778
130,0,418.0441,495.06778
131,0,418.0441,495.06778
132,0,418.12228,495.00015
133,0,418.1223,495.00012
134,0,418.1223,495.00012
135,0,418.16226,494.9759
136,0,418.16406,494.97372
137,0,418.16724,494.96774
138,0,418.16724,494.96774
139,0,418.23846,494.8956
140,0,418.23706,494.89417
141,0,418.23676,494.89398
142,0,418.2777,494.8921
143,0,418.2793,494.88928
144,0,418.30112,494.87613
145,0,418.30112,494.87613
146,0,418.31265,494.94986
147,0,418.3107,494.94794
148,0,418.3108,494.94797
149,0,418.3562,494.91013
150,0,418.3548,494.9128
151,0,418.3555,494.9144
152,0,418.3555,494.9144
153,0,418.3431,494.97665
154,0,418.34195,494.97702
155,0,418.34204,494.97705
156,0,418.3874,494.92325
157,0,418.3874,494.92325
158,0,418.3874,494.92325
159,0,418.3874,494.92325
160,0,418.39804,494.8891
161,0,418.39734,494.87793
162,0,418.39688,494.87897
163,0,418.39688,494.87897
164,0,418.402,494.88483
165,0,418.40176,494.88397
166,0,418.40176,494.8827
167,0,418.3922,494.90344
168,0,418.39673,494.9043
169,0,418.39673,494.9043
170,0,418.39673,494.9043
171,0,418.39883,494.91342
172,0,418.4008,494.91913
173,0,418.4003,494.919
174,0,418.4003,494.919
175,0,418.38776,494.90762
176,0,418.3874,494.8963
177,0,418.387,494.89383
178,0,418.40857,494.93658
179,0,418.41098,494.93802
180,0,418.4249,494.96628
181,0,418.4249,494.96628
182,0,418.4258,494.97833
183,0,418.4249,494.97803
184,0,418.42493,494.9781
185,0,418.42493,494.9781
186,0,418.44244,494.9555
187,0,418.44125,494.95926
188,0,418.4417,494.96115
189,0,418.4305,496.35104
190,0,418.42966,496.34967
191,0,418.43423,496.344
192,0,418.42966,496.35422
193,0,418.4065,500.53748
194,0,418.4075,500.52698
195,0,418.40387,500.5298
196,0,418.40405,500.52985
197,0,417.80728,501.9598
198,0,417.80667,501.9576
199,0,417.8066,501.95764
200,0,417.18674,502.1468
201,0,417.18512,502.1527
202,0,417.18506,502.15268
203,0,417.18506,502.15268
204,0,417.07068,502.21246
205,0,417.07068,502.21246
206,0,417.07068,502.21246
207,0,417.07068,502.21246
208,0,417.59256,502.2325
209,0,417.59354,502.23523
210,0,417.59265,502.24075
211,0,417.59265,502.24075
212,0,418.31967,502.1016
213,0,418.31946,502.10043
214,0,418.31876,502.10117
215,0,418.5549,501.8881
216,0,418.549,501.8599
217,0,418.54907,501.85983
