Lap Nr,Roi1,x,y,w,h,Roi2,x,y,w,h,Roi3,x,y,w,h,Roi4,x,y,w,h
800,,9,13,27,88,,8,7,28,85,,8,8,28,86,,8,8,28,86
1600,,8,8,28,86,,8,8,28,86,,8,8,28,86,,8,8,28,86
2400,,8,8,28,86,,8,8,28,86,,8,8,28,86,,8,8,28,86
3200,,8,8,28,86,,8,8,28,86,,8,8,28,86,,8,8,28,86
4000,,8,8,28,86,,8,6,28,88,,8,6,28,88,,8,6,28,88
4800,,8,6,28,88,,8,6,28,88,,8,6,28,88,,8,6,28,88
5600,,0,11,41,100,,0,11,41,100,,0,11,41,100,,0,11,41,100
