Lap Nr,Point 1,X,Y
1,0,775.0285,470.99744
2,0,775.0274,470.99927
3,0,775.0274,470.99878
4,0,775.0297,471.00635
5,0,775.03186,471.00696
6,0,775.03186,471.0067
7,0,775.0318,471.01218
8,0,775.0367,471.01117
9,0,775.0396,471.0104
10,0,775.04504,471.01056
11,0,775.0452,471.01004
12,0,775.0326,471.0068
13,0,775.03265,471.00702
14,0,775.03015,471.0029
15,0,775.031,471.00266
16,0,775.0311,471.00256
17,0,775.0329,471.0038
18,0,775.0332,471.00662
19,0,775.0332,471.00674
20,0,775.0373,471.0077
21,0,775.0346,471.00778
22,0,775.0346,471.00778
23,0,775.0346,471.00778
24,0,775.03296,471.00836
25,0,775.03296,471.00836
26,0,775.03296,471.00836
27,0,775.02844,471.00058
28,0,775.0289,471.00464
29,0,775.03094,471.0029
30,0,775.0253,471.0075
31,0,775.02466,471.00473
32,0,775.02466,471.00473
33,0,775.02466,471.00473
34,0,775.027,471.00793
35,0,775.027,471.00803
36,0,775.0203,470.99612
37,0,775.02356,471.0023
38,0,775.0235,471.0024
39,0,775.0235,471.0024
40,0,775.0275,471.0015
41,0,775.02765,471.0
42,0,775.02765,471.0
43,0,775.02765,471.0
44,0,775.0262,470.99854
45,0,775.0262,470.99847
46,0,775.0262,470.99847
47,0,775.027,471.00064
48,0,775.02466,471.00708
49,0,775.02466,471.007
50,0,775.0245,471.00964
51,0,775.025,471.00964
52,0,775.025,471.00964
53,0,775.025,471.00964
54,0,775.029,471.0037
55,0,775.0296,471.00235
56,0,775.02966,471.0023
57,0,775.0258,471.00385
58,0,775.0259,471.0041
59,0,775.0259,471.0041
60,0,775.02045,470.99075
61,0,775.02045,470.99075
62,0,775.02045,470.99075
63,0,775.02045,470.99075
64,0,775.0247,470.99112
65,0,775.0247,470.99237
66,0,775.0247,470.9922
67,0,775.02875,470.99524
68,0,775.0285,470.9961
69,0,775.02905,470.99707
70,0,775.0317,470.99603
71,0,775.03174,470.99606
72,0,775.0095,470.99777
73,0,775.00806,470.99823
74,0,775.01483,470.99976
75,0,775.0149,470.9997
76,0,775.01495,470.9997
77,0,775.0187,470.9938
78,0,775.0173,470.99338
79,0,775.0173,470.99338
80,0,775.0201,470.99548
81,0,775.01935,470.9962
82,0,775.01935,470.9962
83,0,775.01935,470.9962
84,0,775.01575,471.00125
85,0,775.0156,471.00104
86,0,775.0156,471.00104
87,0,775.0187,471.00082
88,0,775.0195,471.00073
89,0,775.0194,471.00073
90,0,775.0194,471.00073
91,0,775.00977,471.00772
92,0,775.0106,471.01004
93,0,775.0106,471.00995
94,0,775.0214,470.987
95,0,775.02277,470.98727
96,0,775.0347,470.97174
97,0,775.04016,470.9817
98,0,775.0395,470.9823
99,0,775.0395,470.98227
100,0,775.0395,470.98227
101,0,775.02264,470.99808
102,0,775.0247,470.99576
103,0,775.0247,470.99576
104,0,775.02576,470.99054
105,0,775.02576,470.99054
106,0,775.02576,470.99054
107,0,775.02576,470.99054
108,0,775.02856,471.0077
109,0,775.02856,471.0077
110,0,775.02856,471.0077
111,0,775.03015,471.00668
112,0,775.03,471.00333
113,0,775.0299,471.00336
114,0,775.02136,471.01035
115,0,775.02136,471.01035
116,0,775.02136,471.01035
117,0,775.02136,471.01035
118,0,775.00275,471.0093
119,0,775.0046,471.00888
120,0,775.00104,471.00317
121,0,774.99835,470.99835
122,0,774.99835,470.99835
123,0,774.99835,470.99835
124,0,774.99835,470.99835
125,0,775.0087,471.00546
126,0,775.01105,471.00485
127,0,775.011,471.0049
128,0,774.99335,471.02536
129,0,774.9911,471.02676
130,0,774.9911,471.02676
131,0,774.9911,471.02676
132,0,774.9733,471.02542
133,0,774.9733,471.02554
134,0,774.9733,471.02554
135,0,774.9724,471.026
136,0,774.9725,471.02597
137,0,774.9725,471.02597
138,0,774.9725,471.02597
139,0,774.96356,471.00262
140,0,774.9651,470.99948
141,0,774.9651,470.99948
142,0,774.9633,471.00235
143,0,774.9634,471.00238
144,0,774.95935,470.98184
145,0,774.9577,470.98196
146,0,774.95514,471.0001
147,0,774.9548,471.0006
148,0,774.9548,471.0005
149,0,774.975,471.02078
150,0,774.97565,471.0218
151,0,774.9757,471.0218
152,0,774.9757,471.0218
153,0,774.97205,471.01645
154,0,774.9725,471.02
155,0,774.9726,471.02036
156,0,774.96515,471.01956
157,0,774.95575,471.0128
158,0,774.95575,471.0128
159,0,774.95575,471.0128
160,0,774.95746,471.011
161,0,774.9583,471.0093
162,0,774.95825,471.00928
163,0,774.95825,471.00928
164,0,774.9596,471.00104
165,0,774.9596,471.00098
166,0,774.9596,471.00098
167,0,774.94745,470.99634
168,0,774.91833,470.98495
169,0,774.91833,470.98495
170,0,774.91833,470.98495
171,0,774.93604,470.9884
172,0,774.93835,470.98624
173,0,774.93835,470.98618
174,0,774.93835,470.98618
175,0,774.93933,470.98373
176,0,774.9394,470.98386
177,0,774.9394,470.98386
178,0,774.9495,470.99838
179,0,774.94965,470.9983
180,0,774.9546,471.0176
181,0,774.9545,471.01758
182,0,774.955,471.01257
183,0,774.955,471.01242
184,0,774.95496,471.0124
185,0,774.95496,471.0124
186,0,774.9642,471.0113
187,0,774.9631,471.00983
188,0,774.9631,471.00977
189,0,774.9615,471.01135
190,0,774.96136,471.01154
191,0,774.96136,471.0114
192,0,774.9414,470.99167
193,0,774.9403,471.0066
194,0,774.9389,471.00906
195,0,774.9389,471.00906
196,0,774.9389,471.00906
197,0,774.93146,470.9987
198,0,774.9312,470.99863
199,0,774.93115,470.9987
200,0,774.933,471.0111
201,0,774.9333,471.01096
202,0,774.9334,471.011
203,0,774.9334,471.011
204,0,774.8236,471.02695
205,0,774.82367,471.0271
206,0,774.82367,471.0271
