Lap Nr,Roi1,x,y,w,h,Roi2,x,y,w,h,Roi3,x,y,w,h
109,,0,0,408,294,,0,0,408,294,,0,0,408,294
110,,0,0,408,294,,0,0,408,294,,0,0,408,294
111,,0,0,408,294,,0,0,408,294,,0,0,408,294
112,,0,0,408,294,,0,0,408,294,,0,0,408,294
113,,0,0,408,294,,0,0,408,294,,0,0,408,294
114,,0,0,408,294,,0,0,408,294,,0,0,408,294
115,,0,0,408,294,,0,0,408,294,,0,0,408,294
116,,0,0,408,294,,0,0,408,294,,0,0,408,294
117,,0,0,408,294,,0,0,408,294,,0,0,408,294
118,,0,0,408,294,,0,0,408,294,,0,0,408,294
119,,0,0,408,294,,0,0,408,294,,0,0,408,294
120,,0,0,408,294,,0,0,408,294,,0,0,408,294
121,,0,0,408,294,,0,0,408,294,,0,0,408,294
122,,0,0,408,294,,0,0,408,294,,0,0,408,294
123,,0,0,408,294,,0,0,408,294,,0,0,408,294
124,,0,0,408,294,,0,0,408,294,,0,0,408,294
125,,0,0,408,294,,0,0,408,294,,0,0,408,294
126,,0,0,408,294,,0,0,408,294,,0,0,408,294
127,,0,0,408,294,,0,0,408,294,,0,0,408,294
128,,0,0,408,294,,0,0,408,294,,0,0,408,294
129,,0,0,408,294,,0,0,408,294,,0,0,408,294
130,,0,0,408,294,,0,0,408,294,,0,0,408,294
131,,0,0,408,294,,0,0,408,294,,0,0,408,294
132,,0,0,408,294,,0,0,408,294,,0,0,408,294
133,,0,0,408,294,,0,0,408,294,,0,0,408,294
134,,0,0,408,294,,0,0,408,294,,0,0,408,294
135,,0,0,408,294,,0,0,408,294,,0,0,408,294
136,,0,0,408,294,,0,0,408,294,,0,0,408,294
137,,0,0,408,294,,0,0,408,294,,0,0,408,294
138,,0,0,408,294,,0,0,408,294,,0,0,408,294
139,,0,0,408,294,,0,0,408,294,,0,0,408,294
140,,0,0,408,294,,0,0,408,294,,0,0,408,294
141,,0,0,408,294,,0,0,408,294,,0,0,408,294
142,,0,0,408,294,,0,0,408,294,,0,0,408,294
143,,0,0,408,294,,0,0,408,294,,0,0,408,294
144,,0,0,408,294,,0,0,408,294,,0,0,408,294
145,,0,0,408,294,,0,0,408,294,,0,0,408,294
146,,0,0,408,294,,0,0,408,294,,0,0,408,294
147,,0,0,408,294,,0,0,408,294,,0,0,408,294
148,,0,0,408,294,,0,0,408,294,,0,0,408,294
149,,0,0,408,294,,0,0,408,294,,0,0,408,294
150,,0,0,408,294,,0,0,408,294,,0,0,408,294
151,,0,0,408,294,,0,0,408,294,,0,0,408,294
152,,0,0,408,294,,0,0,408,294,,0,0,408,294
153,,0,0,408,294,,0,0,408,294,,0,0,408,294
154,,0,0,408,294,,0,0,408,294,,0,0,408,294
155,,0,0,408,294,,0,0,408,294,,0,0,408,294
156,,0,0,408,294,,0,0,408,294,,0,0,408,294
157,,0,0,408,294,,0,0,408,294,,0,0,408,294
158,,0,0,408,294,,0,0,408,294,,0,0,408,294
159,,0,0,408,294,,0,0,408,294,,0,0,408,294
160,,0,0,408,294,,0,0,408,294,,0,0,408,294
161,,0,0,408,294,,0,0,408,294,,0,0,408,294
162,,0,0,408,294,,0,0,408,294,,0,0,408,294
163,,0,0,408,294,,0,0,408,294,,0,0,408,294
164,,0,0,408,294,,0,0,408,294,,0,0,408,294
165,,0,0,408,294,,0,0,408,294,,0,0,408,294
166,,0,0,408,294,,0,0,408,294,,0,0,408,294
167,,0,0,408,294,,0,0,408,294,,0,0,408,294
168,,0,0,408,294,,0,0,408,294,,0,0,408,294
169,,0,0,408,294,,0,0,408,294,,0,0,408,294
170,,0,0,408,294,,0,0,408,294,,0,0,408,294
171,,0,0,408,294,,0,0,408,294,,0,0,408,294
172,,0,0,408,294,,0,0,408,294,,0,0,408,294
173,,0,0,408,294,,0,0,408,294,,0,0,408,294
174,,0,0,408,294,,0,0,408,294,,0,0,408,294
175,,0,0,408,294,,0,0,408,294,,0,0,408,294
176,,0,0,408,294,,0,0,408,294,,0,0,408,294
177,,0,0,408,294,,0,0,408,294,,0,0,408,294
178,,0,0,408,294,,0,0,408,294,,0,0,408,294
179,,0,0,408,294,,0,0,408,294,,0,0,408,294
180,,0,0,408,294,,0,0,408,294,,0,0,408,294
181,,0,0,408,294,,0,0,408,294,,0,0,408,294
182,,0,0,408,294,,0,0,408,294,,0,0,408,294
183,,0,0,408,294,,0,0,408,294,,0,0,408,294
184,,0,0,408,294,,0,0,408,294,,0,0,408,294
185,,0,0,408,294,,0,0,408,294,,0,0,408,294
186,,0,0,408,294,,0,0,408,294,,0,0,408,294
187,,0,0,408,294,,0,0,408,294,,0,0,408,294
188,,0,0,408,294,,0,0,408,294,,0,0,408,294
189,,0,0,408,294,,0,0,408,294,,0,0,408,294
190,,0,0,408,294,,0,0,408,294,,0,0,408,294
191,,0,0,408,294,,0,0,408,294,,0,0,408,294
192,,0,0,408,294,,0,0,408,294,,0,0,408,294
193,,0,0,408,294,,0,0,408,294,,0,0,408,294
194,,0,0,408,294,,0,0,408,294,,0,0,408,294
195,,0,0,408,294,,0,0,408,294,,0,0,408,294
196,,0,0,408,294,,0,0,408,294,,0,0,408,294
197,,0,0,408,294,,0,0,408,294,,0,0,408,294
198,,0,0,408,294,,0,0,408,294,,0,0,408,294
199,,0,0,408,294,,0,0,408,294,,0,0,408,294
200,,0,0,408,294,,0,0,408,294,,0,0,408,294
201,,0,0,408,294,,0,0,408,294,,0,0,408,294
202,,0,0,408,294,,0,0,408,294,,0,0,408,294
203,,0,0,408,294,,0,0,408,294,,0,0,408,294
204,,0,0,408,294,,0,0,408,294,,0,0,408,294
205,,0,0,408,294,,0,0,408,294,,0,0,408,294
206,,0,0,408,294,,0,0,408,294,,0,0,408,294
207,,0,0,408,294,,0,0,408,294,,0,0,408,294
208,,0,0,408,294,,0,0,408,294,,0,0,408,294
209,,0,0,408,294,,0,0,408,294,,0,0,408,294
210,,0,0,408,294,,0,0,408,294,,0,0,408,294
211,,0,0,408,294,,0,0,408,294,,0,0,408,294
212,,0,0,408,294,,0,0,408,294,,0,0,408,294
213,,0,0,408,294,,0,0,408,294,,0,0,408,294
214,,0,0,408,294,,0,0,408,294,,0,0,408,294
215,,0,0,408,294,,0,0,408,294,,0,0,408,294
216,,0,0,408,294,,0,0,408,294,,0,0,408,294
217,,0,0,408,294,,0,0,408,294,,0,0,408,294
218,,0,0,408,294,,0,0,408,294,,0,0,408,294
219,,0,0,408,294,,0,0,408,294,,0,0,408,294
220,,0,0,408,294,,0,0,408,294,,0,0,408,294
221,,0,0,408,294,,0,0,408,294,,0,0,408,294
222,,0,0,408,294,,0,0,408,294,,0,0,408,294
223,,0,0,408,294,,0,0,408,294,,0,0,408,294
224,,0,0,408,294,,0,0,408,294,,0,0,408,294
225,,0,0,408,294,,0,0,408,294,,0,0,408,294
226,,0,0,408,294,,0,0,408,294,,0,0,408,294
227,,0,0,408,294,,0,0,408,294,,0,0,408,294
228,,0,0,408,294,,0,0,408,294,,0,0,408,294
229,,0,0,408,294,,0,0,408,294,,0,0,408,294
230,,0,0,408,294,,0,0,408,294,,0,0,408,294
231,,0,0,408,294,,0,0,408,294,,0,0,408,294
232,,0,0,408,294,,0,0,408,294,,0,0,408,294
233,,0,0,408,294,,0,0,408,294,,0,0,408,294
234,,0,0,408,294,,0,0,408,294,,0,0,408,294
235,,0,0,408,294,,0,0,408,294,,0,0,408,294
236,,0,0,408,294,,0,0,408,294,,0,0,408,294
237,,0,0,408,294,,0,0,408,294,,0,0,408,294
238,,0,0,408,294,,0,0,408,294,,0,0,408,294
