Object nr 1,Lap Nr:,Nr. of Corners,Corner 1,x,y
,3200,20,C 1,68,24,C 2,170,21,C 3,102,24,C 4,355,13,C 5,310,15,C 6,112,23,C 7,62,35,C 8,16,25,C 9,395,2,C 10,305,4,C 11,279,16,C 12,391,12,C 13,250,21,C 14,323,24,C 15,408,7,C 16,261,27,C 17,355,23,C 18,185,30,C 19,18,35,C 20,342,23
,3300,20,C 1,68,24,C 2,170,21,C 3,290,16,C 4,279,16,C 5,112,23,C 6,346,13,C 7,305,15,C 8,381,12,C 9,131,22,C 10,90,16,C 11,103,5,C 12,322,24,C 13,327,4,C 14,342,23,C 15,401,4,C 16,74,35,C 17,231,18,C 18,405,21,C 19,213,19,C 20,395,12
,3400,20,C 1,69,24,C 2,346,13,C 3,324,14,C 4,268,17,C 5,117,23,C 6,407,11,C 7,86,24,C 8,37,25,C 9,210,29,C 10,400,21,C 11,283,18,C 12,271,27,C 13,359,23,C 14,312,15,C 15,170,21,C 16,183,20,C 17,326,24,C 18,300,23,C 19,165,31,C 20,236,28
,3500,20,C 1,279,16,C 2,74,24,C 3,60,25,C 4,33,25,C 5,238,18,C 6,345,13,C 7,356,22,C 8,252,17,C 9,4,25,C 10,390,12,C 11,113,5,C 12,170,21,C 13,59,35,C 14,187,24,C 15,48,44,C 16,150,31,C 17,195,30,C 18,235,28,C 19,315,24,C 20,115,23
,3600,20,C 1,69,24,C 2,348,13,C 3,170,21,C 4,286,16,C 5,361,13,C 6,3,25,C 7,239,18,C 8,257,17,C 9,189,20,C 10,115,23,C 11,311,4,C 12,90,24,C 13,8,13,C 14,372,3,C 15,403,11,C 16,326,14,C 17,172,11,C 18,134,22,C 19,152,31,C 20,68,14
,3700,20,C 1,74,24,C 2,169,21,C 3,294,16,C 4,160,13,C 5,68,35,C 6,362,4,C 7,238,18,C 8,267,27,C 9,406,11,C 10,58,25,C 11,220,22,C 12,31,25,C 13,115,23,C 14,257,17,C 15,106,33,C 16,339,14,C 17,85,24,C 18,307,12,C 19,356,23,C 20,46,28
,3800,20,C 1,68,25,C 2,170,21,C 3,347,13,C 4,115,23,C 5,361,13,C 6,374,12,C 7,319,14,C 8,217,27,C 9,285,27,C 10,249,4,C 11,76,15,C 12,390,22,C 13,48,24,C 14,359,23,C 15,304,15,C 16,199,20,C 17,151,29,C 18,398,2,C 19,267,17,C 20,131,23
,3900,20,C 1,171,21,C 2,69,24,C 3,372,13,C 4,347,13,C 5,243,18,C 6,294,16,C 7,115,23,C 8,268,17,C 9,286,26,C 10,230,29,C 11,36,25,C 12,47,14,C 13,144,41,C 14,105,34,C 15,311,15,C 16,382,17,C 17,373,3,C 18,149,22,C 19,369,23,C 20,115,13
,4000,20,C 1,76,24,C 2,171,21,C 3,287,16,C 4,238,18,C 5,306,15,C 6,378,12,C 7,355,3,C 8,71,34,C 9,35,25,C 10,221,19,C 11,354,23,C 12,407,11,C 13,190,20,C 14,174,11,C 15,259,17,C 16,269,17,C 17,113,23,C 18,346,13,C 19,306,4,C 20,59,25
,4100,20,C 1,69,24,C 2,356,13,C 3,257,17,C 4,131,23,C 5,381,12,C 6,279,16,C 7,328,14,C 8,108,23,C 9,23,25,C 10,169,21,C 11,325,24,C 12,292,16,C 13,157,28,C 14,311,15,C 15,3,35,C 16,368,22,C 17,387,22,C 18,284,26,C 19,406,1,C 20,251,28
,4200,20,C 1,69,24,C 2,345,13,C 3,114,23,C 4,238,18,C 5,222,19,C 6,170,21,C 7,371,19,C 8,269,17,C 9,303,15,C 10,373,3,C 11,131,22,C 12,212,29,C 13,105,13,C 14,5,25,C 15,358,3,C 16,184,27,C 17,273,27,C 18,394,12,C 19,402,1,C 20,289,26
,4300,20,C 1,69,24,C 2,356,13,C 3,176,21,C 4,390,20,C 5,264,17,C 6,157,31,C 7,189,20,C 8,326,24,C 9,206,20,C 10,39,41,C 11,128,23,C 12,75,34,C 13,399,1,C 14,223,16,C 15,343,13,C 16,380,12,C 17,54,25,C 18,21,35,C 19,329,4,C 20,69,14
,4400,20,C 1,68,24,C 2,238,18,C 3,130,22,C 4,170,21,C 5,347,13,C 6,175,11,C 7,310,15,C 8,256,17,C 9,208,19,C 10,114,23,C 11,369,13,C 12,408,11,C 13,32,25,C 14,396,2,C 15,354,23,C 16,71,14,C 17,283,24,C 18,14,24,C 19,146,12,C 20,5,15
,4500,20,C 1,68,24,C 2,285,16,C 3,171,21,C 4,349,13,C 5,309,15,C 6,392,12,C 7,374,12,C 8,332,4,C 9,300,25,C 10,130,23,C 11,220,10,C 12,324,24,C 13,203,20,C 14,340,21,C 15,407,6,C 16,357,22,C 17,12,40,C 18,230,30,C 19,244,18,C 20,310,4
,4600,20,C 1,69,24,C 2,170,21,C 3,101,24,C 4,372,21,C 5,223,19,C 6,278,16,C 7,174,31,C 8,346,13,C 9,380,12,C 10,328,14,C 11,12,25,C 12,40,25,C 13,339,24,C 14,253,8,C 15,372,3,C 16,143,22,C 17,74,34,C 18,401,12,C 19,238,29,C 20,114,23
,4700,20,C 1,68,25,C 2,176,21,C 3,320,24,C 4,280,16,C 5,263,17,C 6,324,14,C 7,354,13,C 8,301,15,C 9,87,15,C 10,366,3,C 11,101,14,C 12,237,18,C 13,210,25,C 14,58,25,C 15,4,32,C 16,185,30,C 17,139,32,C 18,158,21,C 19,170,10,C 20,285,27
,4800,20,C 1,67,25,C 2,285,16,C 3,86,24,C 4,407,11,C 5,170,21,C 6,348,13,C 7,133,22,C 8,106,23,C 9,367,13,C 10,393,12,C 11,311,15,C 12,123,23,C 13,37,25,C 14,262,13,C 15,199,20,C 16,324,14,C 17,15,25,C 18,2,15,C 19,266,24,C 20,230,28
,4900,20,C 1,68,24,C 2,286,16,C 3,239,18,C 4,101,16,C 5,34,25,C 6,112,23,C 7,273,27,C 8,169,21,C 9,21,36,C 10,404,11,C 11,319,24,C 12,43,32,C 13,208,19,C 14,328,14,C 15,146,32,C 16,23,25,C 17,157,22,C 18,252,27,C 19,15,15,C 20,369,22
,5000,20,C 1,170,21,C 2,347,13,C 3,280,16,C 4,75,24,C 5,32,25,C 6,223,19,C 7,322,24,C 8,307,15,C 9,406,11,C 10,109,23,C 11,102,32,C 12,373,3,C 13,361,13,C 14,129,23,C 15,165,32,C 16,61,25,C 17,197,30,C 18,382,19,C 19,79,34,C 20,339,4
,5100,20,C 1,69,24,C 2,171,21,C 3,59,25,C 4,129,23,C 5,36,25,C 6,286,16,C 7,113,23,C 8,347,13,C 9,222,19,C 10,309,6,C 11,101,13,C 12,243,28,C 13,400,22,C 14,325,14,C 15,355,23,C 16,245,18,C 17,329,4,C 18,89,24,C 19,296,15,C 20,180,10
,5200,20,C 1,170,21,C 2,222,19,C 3,63,25,C 4,392,12,C 5,346,13,C 6,317,14,C 7,130,22,C 8,357,22,C 9,295,15,C 10,323,24,C 11,85,27,C 12,22,25,C 13,128,36,C 14,361,3,C 15,374,6,C 16,371,18,C 17,114,23,C 18,39,35,C 19,401,6,C 20,115,33
,5300,20,C 1,171,21,C 2,68,24,C 3,38,25,C 4,293,16,C 5,331,14,C 6,349,13,C 7,279,25,C 8,238,18,C 9,133,22,C 10,309,15,C 11,248,18,C 12,407,11,C 13,402,2,C 14,324,24,C 15,87,32,C 16,122,13,C 17,356,23,C 18,406,21,C 19,268,17,C 20,188,24
