Object nr 1,Lap Nr:,Nr. of Corners,Corner 1,x,y
,100,2,C 1,209,28,C 2,223,24
,200,2,C 1,209,29,C 2,223,24
,300,2,C 1,209,28,C 2,224,24
,400,2,C 1,209,29,C 2,224,24
