Object nr 1,Lap Nr:,Nr. of Corners,Corner 1,x,y
,800,13,C 1,51,13,C 2,65,45,C 3,61,29,C 4,47,49,C 5,46,35,C 6,47,64,C 7,48,92,C 8,58,62,C 9,65,92,C 10,48,79,C 11,62,12,C 12,58,84,C 13,67,72
,1600,14,C 1,51,13,C 2,65,45,C 3,61,29,C 4,47,49,C 5,46,35,C 6,48,92,C 7,47,64,C 8,58,62,C 9,48,79,C 10,65,92,C 11,66,56,C 12,58,84,C 13,62,12,C 14,67,72
,2400,13,C 1,51,13,C 2,65,45,C 3,61,29,C 4,47,49,C 5,48,92,C 6,46,35,C 7,55,63,C 8,65,92,C 9,65,56,C 10,48,72,C 11,58,84,C 12,62,12,C 13,67,72
,3200,13,C 1,51,13,C 2,65,45,C 3,61,29,C 4,47,49,C 5,48,92,C 6,55,63,C 7,46,35,C 8,65,92,C 9,65,61,C 10,48,72,C 11,62,12,C 12,58,84,C 13,67,72
,4000,13,C 1,51,13,C 2,65,45,C 3,61,29,C 4,47,49,C 5,46,35,C 6,48,92,C 7,55,63,C 8,65,56,C 9,48,79,C 10,65,92,C 11,58,84,C 12,62,12,C 13,67,72
