Lap Nr,Roi1,Roi1_x,Roi1_y,Roi1_w,Roi1_h,Roi2,Roi2_x,Roi2_y,Roi2_w,Roi2_h,Roi3,Roi3_x,Roi3_y,Roi3_w,Roi3_h,Roi4,Roi4_x,Roi4_y,Roi4_w,Roi4_h
800,,17,14,27,88,,15,5,28,85,,14,10,28,86,,16,13,28,85
1600,,18,14,26,88,,15,4,28,86,,14,10,28,86,,16,13,28,85
2400,,18,14,26,88,,15,4,28,86,,14,10,28,86,,16,13,28,86
3200,,17,14,27,88,,15,5,28,86,,14,10,28,86,,16,13,28,86
4000,,18,14,26,88,,15,4,28,88,,14,10,28,87,,16,13,27,86
4800,,19,14,25,88,,15,4,28,88,,14,10,28,86,,16,13,27,86
5600,,0,1,49,102,,15,5,28,85,,14,10,28,86,,16,13,28,85
