Lap Nr,Roi1,Roi1_x,Roi1_y,Roi1_w,Roi1_h,Roi2,Roi2_x,Roi2_y,Roi2_w,Roi2_h,Roi3,Roi3_x,Roi3_y,Roi3_w,Roi3_h,Roi4,Roi4_x,Roi4_y,Roi4_w,Roi4_h
800,,83,81,13,15,,71,81,5,11,,0,55,92,55,,0,0,83,60
1600,,83,81,13,15,,71,81,5,11,,39,5,53,20,,0,0,73,30
2400,,83,81,13,15,,71,81,5,11,,40,0,52,39,,0,0,49,23
3200,,83,81,13,15,,0,21,85,15,,0,0,15,87,,15,0,68,87
