Lap Nr,Roi1,Roi1_x,Roi1_y,Roi1_w,Roi1_h
630,,0,17,418,24
631,,0,17,418,24
632,,0,17,418,24
633,,0,16,418,24
634,,0,17,418,24
635,,0,17,418,24
636,,0,17,418,23
637,,0,17,418,23
638,,0,17,418,23
639,,0,17,418,23
640,,0,17,418,23
641,,0,16,418,24
642,,0,16,418,24
643,,0,17,418,23
644,,0,17,418,23
645,,0,17,418,23
646,,0,17,418,23
647,,0,16,418,24
648,,0,16,418,24
649,,0,16,418,24
650,,0,16,418,24
651,,0,16,418,24
652,,0,16,418,24
653,,0,16,418,24
654,,0,16,418,24
655,,0,16,418,24
656,,0,16,418,24
713,,0,17,418,23
714,,0,17,418,23
715,,0,17,418,23
716,,0,17,418,23
717,,0,17,418,23
718,,0,17,418,23
719,,0,17,418,23
720,,0,17,418,23
721,,0,17,418,23
722,,0,17,418,23
723,,0,17,418,23
724,,0,17,418,23
725,,0,17,418,23
726,,0,17,418,23
727,,0,17,418,23
728,,0,17,418,23
729,,0,17,418,23
730,,0,16,418,24
731,,0,17,418,24
732,,0,17,418,23
733,,0,17,418,23
734,,0,17,418,23
735,,0,17,418,24
736,,0,17,418,24
737,,0,17,418,24
738,,0,17,418,24
739,,0,17,418,24
740,,0,17,418,23
741,,0,17,418,23
742,,0,17,418,23
743,,0,16,418,24
744,,0,16,418,24
745,,0,16,418,24
746,,0,16,418,24
747,,0,16,418,24
748,,0,16,418,24
749,,0,16,418,24
750,,0,16,418,24
751,,0,16,418,24
752,,0,16,418,24
753,,0,16,418,24
754,,0,16,418,24
755,,0,16,418,24
811,,0,17,418,24
812,,0,17,418,23
813,,0,17,418,23
814,,0,17,418,23
815,,0,17,418,24
816,,0,16,418,24
817,,0,16,418,24
818,,0,16,418,24
819,,0,17,418,23
820,,0,17,418,23
821,,0,16,418,24
822,,0,16,418,24
823,,0,16,418,24
824,,0,16,418,25
825,,0,16,418,25
826,,0,16,418,25
827,,0,17,418,23
828,,0,17,418,23
829,,0,17,418,23
830,,0,17,418,23
831,,0,16,418,24
832,,0,16,418,25
833,,0,16,418,25
834,,0,16,418,25
835,,0,16,418,25
836,,0,16,418,24
837,,0,16,418,24
838,,0,16,418,24
839,,0,16,418,24
840,,0,17,418,24
841,,0,16,418,25
842,,0,16,418,25
843,,0,17,418,23
844,,0,17,418,23
845,,0,17,418,23
846,,0,17,418,23
847,,0,17,418,23
848,,0,17,418,23
849,,0,17,418,23
850,,0,17,418,23
851,,0,17,418,23
852,,0,16,418,24
853,,0,16,418,24
854,,0,16,418,24
855,,0,16,418,24
856,,0,16,418,24
857,,0,16,418,24
911,,0,17,418,23
912,,0,16,418,24
913,,0,17,418,23
914,,0,17,418,23
915,,0,16,418,24
916,,0,16,418,24
917,,0,17,418,23
918,,0,17,418,23
919,,0,17,418,23
920,,0,17,418,23
921,,0,17,418,23
922,,0,17,418,23
923,,0,17,418,23
924,,0,17,418,23
925,,0,17,418,23
926,,0,17,418,23
927,,0,17,418,23
928,,0,17,418,24
929,,0,17,418,24
930,,0,17,418,23
931,,0,17,418,23
932,,0,17,418,23
933,,0,17,418,23
934,,0,17,418,23
935,,0,16,418,24
936,,0,17,418,23
937,,0,16,418,24
938,,0,16,418,24
939,,0,17,418,23
940,,0,17,418,23
941,,0,17,418,23
942,,0,16,418,24
943,,0,16,418,24
